Fillingdate;EquivInterval;EquivMonth;IsDeadLine
[By tax return filing deadline];1 month after end of Fiscal Year;31/01/2023;1
12 months from end of accounting period for Thai multinational enterprises (MNEs) and 60 days from receipt of notification from Revenue Department for foreign MNEs obliged to file CbC report;2 month after end of Fiscal Year;28/02/2023;1
Within 2 months from the date of filing the tax return;2 month after end of Fiscal Year;28/02/2023;1
For taxpayers who meet the transaction threshold, the Local File should be prepared by the deadline for the corporate tax return, which is generally 2 to 3 months following the end of the taxpayer’s fiscal year. Companies not meeting the transaction threshold are not required by legislation to prepare the Local File by the deadline of the corporate tax return, but they can still be requested to provide documentation during an audit. If requested in an audit, the Local File must be submitted by the deadline specified by the examiner, which can be a maximum of 45 days for taxpayers subject to contemporaneous documentation requirements and a maximum of 60 days for taxpayers exempt from contemporaneous documentation requirements;2 month after end of Fiscal Year;28/02/2023;1
Due date for filing the corporate tax return on 10 February 2021;2 month after end of Fiscal Year;28/02/2023;1
With the corporate tax return, which is generally due 2 to 3 months after the end of the taxpayer’s fiscal year;2 month after end of Fiscal Year;28/02/2023;1
Due date for filing the annual tax return, which is 10 February;2 month after end of Fiscal Year;28/02/2023;1
The intimation for the aforesaid notification requirements needs to be furnished in Form No. 3CEAC at least 2 months prior to the due date for furnishing the CbC report;2 month after end of Fiscal Year;28/02/2023;1
No later than 31 March of the fiscal year after the last day of the reporting fiscal year of the MNE group (i.e. the due date for the filing of the corporate income tax return);3 month after end of Fiscal Year;31/03/2023;1
Must be prepared no later than 3 months after the last day of the reporting fiscal year (i.e. the due date for the filing of the corporate income tax return) and must be submitted within 45 days upon request from the tax authorities;3 month after end of Fiscal Year;31/03/2023;1
"Must be prepared no later than 90 days after the last day of the fiscal year (i.e. by the statutory deadline for the filing of the corporate income tax return) and must be available within 15 working days upon request from the tax authorities during tax/transfer pricing audits.

The time limit for submission of the TP documentation (including Master File) upon request in an audit is now subject to the Law on Inspection from the date of receipt of the tax authority’s request. Accordingly, the Law on Inspection provides that inspected entities are obliged to provide timely, sufficiently and accurately the information and documents regarding the inspection contents upon request in an audit. Thus, the Master File must be submitted upon the tax authority’s request in a timely manner during an audit, instead of within 15 working days as prescribed in Decree 20";3 month after end of Fiscal Year;31/03/2023;1
Must be prepared no later than 3 months after the last day of the fiscal year (i.e. by the statutory deadline for the filing of the corporate income tax return) and must be available within 15 working days upon request from the tax authorities during tax/transfer pricing audits;3 month after end of Fiscal Year;31/03/2023;1
Must be prepared no later than by the submission of the corporate income tax return (i.e. 3 months after the last day of the reporting fiscal year) and must be provided upon request of the tax authorities, which could be the first day of the audit, or if an extension is required, within 30 days to 90 days, depending on the scope and complexity of the data;3 month after end of Fiscal Year;31/03/2023;1
31 March of the following year of reporting;3 month after end of Fiscal Year;31/03/2023;1
Filing annually together with corporate tax return on 31 March;3 month after end of Fiscal Year;31/03/2023;1
No later than 3 months after the last day of the reporting fiscal year, along with the filing of the corporate income tax return;3 month after end of Fiscal Year;31/03/2023;1
31 March every year;3 month after end of Fiscal Year;31/03/2023;1
A schedule of controlled transactions must be filed together with the income tax declaration 3 months after the end of the accounting period;3 month after end of Fiscal Year;31/03/2023;1
No later than 3 months after the last day of a fiscal year (with 3 or 6-month extension available);3 month after end of Fiscal Year;31/03/2023;1
No later than 3 months after the last day of the fiscal year (along with the filing of the corporate income tax return);3 month after end of Fiscal Year;31/03/2023;1
No later than 3 months after the last day of the reporting fiscal year of the MNE group;3 month after end of Fiscal Year;31/03/2023;1
No later than the last working day of March of each year (beginning in March 2018);3 month after end of Fiscal Year;31/03/2023;1
3 months after the end of the relevant accounting period;3 month after end of Fiscal Year;31/03/2023;1
31 March of each year;3 month after end of Fiscal Year;31/03/2023;1
Within 3 months of the end of the reporting period;3 month after end of Fiscal Year;31/03/2023;1
"For financial years before 1 January 2022 – Not applicable

For a financial year beginning on or after 1 January 2022 – No later than 3 months after its financial year end";3 month after end of Fiscal Year;31/03/2023;1
No later than 3 months after the last day of the reporting fiscal year (along with the filing of the corporate income tax return) (3 or 6-month extension is available);3 month after end of Fiscal Year;31/03/2023;1
"03/31/2022 (FYE 12/2021)
[Due date of tax return, i.e., 3
months after year-end)]";3 month after end of Fiscal Year;31/03/2023;1
"03/31/2022 (FYE 12/2021)
[Last business day of the 3^{rd}
month after year-end]";3 month after end of Fiscal Year;31/03/2023;1
"03/31/2022 (FYE 12/2021)
[Submitted as appendix to
corporate tax return]";3 month after end of Fiscal Year;31/03/2023;1
"03/31/2022 (FYE 12/2021)
[Within 3 months of the end of
reporting year]";3 month after end of Fiscal Year;31/03/2023;1
"03/31/2022 (FYE 12/2021)
[Last working day of March
following reporting year]";3 month after end of Fiscal Year;31/03/2023;1
"Extended to 06/01/2022 (for
accounting periods ended
between 12/31/2021 and
02/28/2022]
(See notes)";3 month after end of Fiscal Year;31/03/2023;1
"03/31/2023 (FYE 12/2022)
[Within 3 months after the end
of the accounting period]
(See Notes)";3 month after end of Fiscal Year;31/03/2023;1
By the last business day of the third month immediately following the closing date of the fiscal year of the UPE.;3 month after end of Fiscal Year;31/03/2023;1
By the last day of the reporting period for years 2016-2018. As of 2019,the new deadline will be three months after the end of the given tax year.;3 month after end of Fiscal Year;31/03/2023;1
No later than the last working day in March of each year;3 month after end of Fiscal Year;31/03/2023;1
Within 3 months after the end of each accounting period beginning on or after 1 January 2018.;3 month after end of Fiscal Year;31/03/2023;1
Within 3 months after the end of each reporting fiscal year;3 month after end of Fiscal Year;31/03/2023;1
Within 90 days after the fiscal year end;3 month after end of Fiscal Year;31/03/2023;1
If the reporting fiscal year is a calendar year, by 31 March of the following year. Otherwise, 30 days after the end of the reporting fiscal year.;3 month after end of Fiscal Year;31/03/2023;1
The Master File needs to be filed together with the corporate income tax return, by 30 April of the following fiscal year;4 month after end of Fiscal Year;30/04/2023;1
Not later than 4 months after the end of each basis period;4 month after end of Fiscal Year;30/04/2023;1
The Master File must be available no later than 4 months after the taxpayer’s fiscal year-end and must be submitted upon request by the tax authorities;4 month after end of Fiscal Year;30/04/2023;1
No later than the statutory deadline for the filing of the annual corporate income tax return (i.e. 30 April following the fiscal year-end, article 31 bis of the Senegalese General Tax Code);4 month after end of Fiscal Year;30/04/2023;1
The Local File needs to be filed together with the corporate income tax return, by 30 April of the following fiscal year.;4 month after end of Fiscal Year;30/04/2023;1
The Local File must be available no later than 4 months after the taxpayer’s fiscal year-end and must be submitted on request by the tax authorities;4 month after end of Fiscal Year;30/04/2023;1
No later than the statutory deadline for the filing of the annual corporate income tax return (i.e. 30 April following the fiscal year-end);4 month after end of Fiscal Year;30/04/2023;1
30 April;4 month after end of Fiscal Year;30/04/2023;1
"No later than 4 months after the last day of the reporting fiscal year, along with the filing of the corporate income tax return

In view of the COVID-19 pandemic, the deadline for the filing of the PD-IPO form, which coincides with the filing of the corporate income tax return, has been postponed for taxpayers whose fiscal year coincides with calendar year:

- from 30 April 2020 to 30 June 2020 for fiscal year 2019 and

- from 30 April 2021 to 30 June 2021 for fiscal year 2020";4 month after end of Fiscal Year;30/04/2023;1
As of fiscal year 2022, the transfer pricing return must be submitted 120 days after the end of the financial year. In years prior to 2022, the transfer pricing return was to be submitted 180 days after the end of the fiscal year;4 month after end of Fiscal Year;30/04/2023;1
The form is filed with the corporate tax return within 4 months from the end of the accounting period;4 month after end of Fiscal Year;30/04/2023;1
Transfer Pricing Regulations, 2020 (L.I. 2412) require that a transfer pricing return should be filed, i.e. Form 22A & 22B – Annual Return on Transfer Pricing Transactions. The filing date is the same as the due date for filing the corporate tax return, i.e. not later than 4 months after the end of the accounting year of the entity;4 month after end of Fiscal Year;30/04/2023;1
Four months from the end of the financial year concerned, filed together with the tax return;4 month after end of Fiscal Year;30/04/2023;1
The same as the deadline for filing tax return, which is 4 months from the end of the financial year;4 month after end of Fiscal Year;30/04/2023;1
Transfer pricing form should be filed as an annex to the annual corporate income tax return by the last day of the fourth month following the closing of the taxpayer’s fiscal year;4 month after end of Fiscal Year;30/04/2023;1
"No later than 4 months after the last day of the reporting fiscal year of the MNE group

In view of the COVID-19 pandemic, the deadline for the filing of the CbC notification, which coincides with the filing of the corporate income tax return, has been postponed for taxpayers whose fiscal year coincides with calendar year:

- from 30 April 2021 to 30 June 2021 for fiscal year 2020";4 month after end of Fiscal Year;30/04/2023;1
120 days after the fiscal year-end;4 month after end of Fiscal Year;30/04/2023;1
No later than 120 days after the last day of the taxpayers reporting year;4 month after end of Fiscal Year;30/04/2023;1
"04/30/2022 (FYE 12/2021)
Filed with income tax return
(within 120 days after the end
of the reporting year)";4 month after end of Fiscal Year;30/04/2023;1
"05/02/2022 (FYE 12/2021)
[By corporate tax return filing
deadline: 4 months after year-end]";4 month after end of Fiscal Year;30/04/2023;1
Within 120 days following the end of the reporting fiscal year;4 month after end of Fiscal Year;30/04/2023;1
Within 4 months after the last day of the tax period;4 month after end of Fiscal Year;30/04/2023;1
No later than the last business day of June after the last day of the reporting fiscal year of the MNE group. However, according to the law, the taxpayer can request one 3-month extension;5 month after end of Fiscal Year;31/05/2023;1
Must be prepared no later than 5 months after the last day of the reporting fiscal year and must be submitted afterwards within 3 working days upon request from the tax authorities during a tax inspection;5 month after end of Fiscal Year;31/05/2023;1
"Within 30 days upon request of the FTS:

- for calendar years 2018 and 2019 not earlier than 31 December of the year following the year in which controlled transactions were concluded (i.e. not earlier than 31 December 2019 and 31 December 2020, respectively). This transitional period, however, will not affect local TP documentation requirements under article 105.15 TC (see section D below)

- from calendar year 2020 not earlier than 1 June of the year following the year in which controlled transactions were concluded";5 month after end of Fiscal Year;31/05/2023;1
From FY 2005 Income Tax Return Filing, the related-party transactions disclosure form (RPF) is part of the corporate income tax return, which should be filed within the period from 1 May to 31 May of the following year for companies with calendar year-ends;5 month after end of Fiscal Year;31/05/2023;1
Notification (through form RF-1123) should be submitted together with the annual tax return, i.e. 31 May after the income year. Taxpayers must be able to provide transfer pricing documentation within 45 days after a request from the tax authorities;5 month after end of Fiscal Year;31/05/2023;1
No later than 31 May after the last day of the fiscal year, along with the corporate income tax return;5 month after end of Fiscal Year;31/05/2023;1
No later than 15 May of the year following the reporting financial year;5 month after end of Fiscal Year;31/05/2023;1
Together with corporate tax return on 31 May;5 month after end of Fiscal Year;31/05/2023;1
No later than 20 May after the last day of the calendar year in which the controlled transactions were performed;5 month after end of Fiscal Year;31/05/2023;1
"Within 150 days after the end of the accounting period (along with the annual tax return) 

Filing deadline for accounting periods starting between 1 January and 31 December 2020 was extended to 30 May 2022";5 month after end of Fiscal Year;31/05/2023;1
No later than the statutory deadline for the filing of the corporate income tax return (i.e. 31 May after the last day of the reporting fiscal year);5 month after end of Fiscal Year;31/05/2023;1
"5 months after fiscal year-end

The notification is required to be filed at the time of filing the income tax return (31 May for calendar-year-end companies). There are exceptions in cases of dissolution, closure, amalgamation, ownership transfer or liquidation, i.e. within 45 days from the date of dissolution, closure, amalgamation or ownership transfer under such circumstances or within 30 days from the date of completion of liquidation";5 month after end of Fiscal Year;31/05/2023;1
No later than the second working day following 1 May (for entities closing their fiscal year on 31 December) or within 3 months following the fiscal year-end (for the other entities) with the possibility in both cases of getting a 2-week extension due to electronic filing;5 month after end of Fiscal Year;31/05/2023;1
31 May in the year after the reporting year;5 month after end of Fiscal Year;31/05/2023;1
No later than 5 months after the last day of the reporting fiscal year;5 month after end of Fiscal Year;31/05/2023;1
"05/31/2022 (FYE 12/2021)
[Last day of the 5th month
after year-end]";5 month after end of Fiscal Year;31/05/2023;1
"05/31/2022 (FYE 12/2021)
[Reported on corporate tax
return]";5 month after end of Fiscal Year;31/05/2023;1
"05/30/2022 (FYE 12/2021)
[Reported on the Transfer
Pricing Disclosure Form that is
filed with the annual corporate
tax return, due within 150 days
after the end of the accounting
period]";5 month after end of Fiscal Year;31/05/2023;1
By the last day of the fifth month following the end of the reporting fiscal year;5 month after end of Fiscal Year;31/05/2023;1
No later than the last business day of July along with the filing of the corporate income tax return;6 month after end of Fiscal Year;30/06/2023;1
Must be prepared no later than the statutory deadline for filing the corporate income tax return (31 March of the second year after the end of the reporting fiscal year if the taxpayer is represented by an Austrian tax advisor or 30 June of the first year after the end of the reporting fiscal year in other cases), may only be requested by the tax authorities after such statutory deadline and must be submitted within 30 days upon request from the tax authorities;6 month after end of Fiscal Year;30/06/2023;1
No later than the last business day of June following the last day of the reporting fiscal year of the MNE group. However, according to the law, the taxpayer can request one 3-month extension;6 month after end of Fiscal Year;30/06/2023;1
The Master File (transfer pricing documentation with information on the group that corresponds to the Master File requirements in accordance with the OECD guidance) needs to be prepared for accounting periods that start on or after 1 January 2017. The transfer pricing documentation is filed only at the request of the tax administration. The filing date is 60 days from the request but not earlier than 6 months after the end of the accounting period. This means that the Master File needs to be filed earliest on 30 June 2023 for the fiscal year-end 31 December 2022 (provided that the accounting period follows the calendar year);6 month after end of Fiscal Year;30/06/2023;1
The Master File must be filed no later than 6 months after the last day of the reporting financial year of the MNE group;6 month after end of Fiscal Year;30/06/2023;1
Must be prepared no later than the 15th day of the 6th month after the last day of the reporting fiscal year and must be submitted to the tax authorities within 30 days upon request from the tax authorities;6 month after end of Fiscal Year;30/06/2023;1
"Master File should be submitted no later than 30 June of the year following the reported year on the Dhareeba Portal see
               article 8 of President’s Decision No. 4 of 2020
            


               Decision of the General Tax Authority No. 10 of 2022, amends and clarifies the submission deadline to include that the due date for submission of TP documentation is 60 days from the corporate tax return due date. 

For entities that file their income tax return late, the Dhareeba system currently appears to be programmed to provide 30 additional days from the actual date of filing the tax return for submitting the Master File";6 month after end of Fiscal Year;30/06/2023;1
Must be filed together with the tax return by the due date for submission of the corporate income tax return (i.e. within 6 months after the end of the income tax year, with a possible extension).;6 month after end of Fiscal Year;30/06/2023;1
Must be prepared no later than 30 June from the last day of the reporting fiscal year of the relevant related-party transactions and must be submitted within 30 days upon request from the tax authorities;6 month after end of Fiscal Year;30/06/2023;1
The transfer pricing documentation requirements apply to accounting periods that start on or after 1 January 2017. The transfer pricing documentation is filed only at request of the tax administration. The filing date is 60 days from the request but not earlier than 6 months after the end of the accounting period;6 month after end of Fiscal Year;30/06/2023;1
The Local File shall be filed no later than 6 months after the last day of the reporting financial year of the MNE group;6 month after end of Fiscal Year;30/06/2023;1
"Local File should be prepared by the 15th day of the 6th month of the next tax period

Exceptions:

- if transactions were executed only among Lithuanian subjects, the transfer pricing documentation is not required

However, documentation should be submitted within 30 days upon request of the tax authorities";6 month after end of Fiscal Year;30/06/2023;1
"The Local File shall be prepared before the filing of the corporate income tax return (i.e. no later than 6 months after the last day of the fiscal year) and submitted:

- within 21 days of the receipt of FIRS’ notice for companies having controlled transactions of NGN 300 million or more or

- within 90 days of the receipt of FIRS’ notice for companies having controlled transactions of less than NGN 300 million";6 month after end of Fiscal Year;30/06/2023;1
"Must be submitted according to a maturity schedule:

- between 13 and 23 April 2018 for fiscal year 2016, depending on the last number of the Tax ID

- between 14 and 22 June 2018 for fiscal year 2017, depending on the last number of the Tax ID

- between 14 and 24 June 2019 for fiscal year 2018, depending on the last number of the Tax ID

- between 14 and 24 June 2020 for fiscal year 2019, depending on the last number of the Tax ID

- between 15 and 22 June 2021 for fiscal year 2020, depending on the last number of the Tax ID and

- between 15 and 22 June 2022 for fiscal year 2021, depending on the last number of the Tax ID";6 month after end of Fiscal Year;30/06/2023;1
"Local File should be submitted no later than 30 June of the year following the reported year on the Dhareeba Portal see
               article 8 of President’s Decision No. 4 of 2020
            


               Decision of the General Tax Authority No. 10 of 2022 amends and clarifies the submission deadline to include that the due date for submission of TP documentation is 60 days from the corporate tax return due date. This decision has provided clarity to entities with a different year-end.

For entities that file their income tax return late, the Dhareeba system currently appears to be programmed to provide 30 additional days from the actual date of filing the tax return for submitting the Local File";6 month after end of Fiscal Year;30/06/2023;1
"The so-called “Transfer Pricing Study” (i.e. the Argentinian equivalent to the Local File) must be filed no later than between the 23rd day and the 27th day of the 6th month after the end of the fiscal year, according to the final digit of the Individual Tax Identification Code.

In view of the COVID-19 pandemic, the Transfer Pricing Study, corresponding to the tax periods ended between 31 December 2020 and 31 December 2021, both inclusive, shall be filed – as an exception – before the day of the ninth month following the closing of the fiscal year or annual tax period in accordance with the last digit of the Individual Tax Identification Code (section 10 of the General Resolution 5010/2021)";6 month after end of Fiscal Year;30/06/2023;1
Under normal course transfer pricing reporting requirements, documentation must be prepared by a taxpayer’s tax reporting/return filing date (generally, 6 months after the end of the taxation year) and provided to the CRA within 3 months of a request to provide it;6 month after end of Fiscal Year;30/06/2023;1
The transfer pricing documentation is filed only at request of the tax administration. The filing date is 60 days from the request but not earlier than 6 months after the end of the accounting period;6 month after end of Fiscal Year;30/06/2023;1
"A transfer pricing documentation file should be prepared within 6 months from year-end

The documentation file is not submitted per se but should be provided within 30 days from the tax authority’s request

If the entity has opted to obtain an Annual Tax Certificate by the certified auditors, it will be reviewed by the auditors before the issuance of the Tax Certificate which is by the end of the tenth month from year-end";6 month after end of Fiscal Year;30/06/2023;1
"(1) Annual Documentation: within 6 months from fiscal year-end

(2) Contemporaneous Documentation:

should be prepared by the taxpayer at the time of the annual corporate tax return filing and should be submitted to the tax authorities within 30 days upon request";6 month after end of Fiscal Year;30/06/2023;1
The transfer pricing documentation shall be in place before the due date for the filing of the corporate income tax return (i.e. before the last day of the 6th month after the last day of the fiscal year) and shall be submitted within 21 days of the receipt of FIRS’ notice;6 month after end of Fiscal Year;30/06/2023;1
Upon request of the FTS during a tax audit within 30 days of such request. The TP documentation for a tax year may be requested not earlier than 1 June of the following year;6 month after end of Fiscal Year;30/06/2023;1
No later than 180 days after the last day of the relevant fiscal year, along with the corporate income tax return;6 month after end of Fiscal Year;30/06/2023;1
"Forms 2668 and 4501: Must be filed no later than between the 23rd day and the 27th day of the 6th month after the end of the fiscal year, according to the final digit of the Individual Tax Identification Code

In view of the COVID-19 pandemic, Form 2668 must be submitted:

- no later than between 3 and 7 August 2020, according to the final digit of the Individual Tax Identification Code for fiscal years ended between 31 December 2018 and 30 November 2019

- no later than between 3 and 7 October 2020, according to the final digit of the Individual Tax Identification Code for fiscal years ended between 31 December 2019 and 30 April 2020.

In view of the COVID-19 pandemic for the fiscal year ended between 31 December 2020 and 31 December 2021 form F. 2668, form F. 2672 (International Transactions Simplified Regime, i.e. 

aimed at facilitating the filing of transfer pricing documentation by low-risk taxpayers that comply with certain conditions, according to General Resolution 5010/2021) and the Transfer Pricing Study must be submitted – as an exception – in the ninth month after the closing of its fiscal period (article 10 of General Resolution 5010/2021)";6 month after end of Fiscal Year;30/06/2023;1
“Filing due date”, per section 233.1(2), for corporations is 6 months after the end of the year (for reporting partnerships, per section 233.1(4) and section 229 Income Tax Regulations) when a partnership information return is or would have to be filed trusts and individuals are required to file 90 days after the end of the year;6 month after end of Fiscal Year;30/06/2023;1
"Within 6 months of the statutory deadline for the filing of the annual corporate income tax return (i.e. the second working day following 1 May for entities closing their fiscal year on 31 December or within 3 months following the fiscal year-end for the other entities). Exceptionally, extended deadlines for filing the simplified TP form were granted in response to the COVID-19 crisis: 

– for entities with financial year-ends on 31 December 2019, the annual corporate income tax return had to be filed by 30 June 2020, and the simplified TP form will have to be filed by 31 December 2020 and

– for entities with financial year-ends on 31 March 2020, the annual corporate income tax return had to be filed by 31 July 2020, and the simplified TP form will have to be filed by 31 January 2021";6 month after end of Fiscal Year;30/06/2023;1
Within 6 months from year-end;6 month after end of Fiscal Year;30/06/2023;1
Must be filed with the corporate income tax return (no later than 15 June for companies with calendar-year financial statements, if filed digitally);6 month after end of Fiscal Year;30/06/2023;1
The TP form needs to be filed together with the tax return no later than 30 June after the end of the accounting year for companies whose financial statements shall be certified by a chartered accountant or no later than 31 May after the end of the accounting year for the other companies;6 month after end of Fiscal Year;30/06/2023;1
Must be submitted together with the annual corporate income tax return no later than the 15th day of the 6th month after the last day of the fiscal year, or no later than the 30th day after the end of the entity’s operations;6 month after end of Fiscal Year;30/06/2023;1
"- Informative Tax Return Appendix 9: should be filed before 30 June of the following year or, if the Mexican taxpayer is obliged to submit the Informative Tax Return for Fiscal Position (DISIF) or the Statutory Tax Report (Dictamen fiscal) it may be filed in March or July, respectively

- DISIF Appendices: 31 March and

- Statutory Tax Return Appendixes: 15 July";6 month after end of Fiscal Year;30/06/2023;1
The statutory transfer pricing forms (Declaration and Disclosure Forms) shall be filed along with their annual income tax returns (i.e. not later than 6 months after the last day of the fiscal year or 18 months after the date of incorporation, whichever is earlier);6 month after end of Fiscal Year;30/06/2023;1
Form 930 should be filed within 6 months after the end of the fiscal year;6 month after end of Fiscal Year;30/06/2023;1
Must be prepared no later than 6 months after the last day of the reporting fiscal year and must be made available by the taxpayer in the event of an audit;6 month after end of Fiscal Year;30/06/2023;1
Same date as tax return, i.e. 21 June of the year following the accounting year see Regulation 46(3) of the Income Tax Act;6 month after end of Fiscal Year;30/06/2023;1
Notification should be done by 30 June following the end of the reporting fiscal year;6 month after end of Fiscal Year;30/06/2023;1
No later than 6 months after the last day of the reporting fiscal year of the MNE group, along with the filing of the corporate income tax return;6 month after end of Fiscal Year;30/06/2023;1
No later than 6 months after the last day of the reporting fiscal year of the MNE group;6 month after end of Fiscal Year;30/06/2023;1
Every year before the end of June;6 month after end of Fiscal Year;30/06/2023;1
"06/30/2022 (FYE 12/2021)
[By the end of June in year
following reporting year]";6 month after end of Fiscal Year;30/06/2023;1
"06/30/2022 (FYE 12/2021)
[Within 6 mo. of year-end]";6 month after end of Fiscal Year;30/06/2023;1
"06/30/2022 (FYE 12/2021)
[Within 6 months of the
reporting year-end]";6 month after end of Fiscal Year;30/06/2023;1
"06/30/2022 (FYE 12/2021)
[Included in Form 1907 -Transfer Pricing Return: due by
last business day of June
following reporting year]";6 month after end of Fiscal Year;30/06/2023;1
"Not required
(See Notes)";6 month after end of Fiscal Year;30/06/2023;1
By the end of June of each year;6 month after end of Fiscal Year;30/06/2023;1
By the end of May of the year following the reporting fiscal year;6 month after end of Fiscal Year;30/06/2023;1
Within 6 months after end of the calender year in which the reporting fiscal year ends;6 month after end of Fiscal Year;30/06/2023;1
Within 6 months after the end of the fiscal year;6 month after end of Fiscal Year;30/06/2023;1
"Should be available upon request during an audit and needs to be in place by the time the taxpayer files its annual tax and accounting information form (Informação Empresarial Simplificada, IES) in order for the documentation to be considered contemporaneous (article 63(6) of the CIRC)

Taxpayers under the supervision of the Large Taxpayers Unit have to submit their transfer pricing documentation by the deadline for filing the IES, which is due on the 15th day of the seventh month after the end of the fiscal year or on 15 July, if the fiscal year coincides with the calendar year (articles 130(3), 117(1)(c) and 121(2) and (3) of the CIRC). 

During 2022, the deadline to comply with this obligation was exceptionally extended (due to the COVID-19 pandemic and the recent Russia-Ukraine impacts) to 15 September, see 
               https://santoscarvsroc.pt/wp-content/uploads/2022/07/despacho_seaf_135_seaf_xxiii.pdf";7 month after end of Fiscal Year;31/07/2023;1
"Should be available upon request during an audit and needs to be in place by the time the taxpayer files its annual tax and accounting information form (Informação Empresarial Simplificada, IES) in order for the documentation to be considered contemporaneous (article 63(6) of the CIRC) 

Taxpayers under the supervision of the Large Taxpayers Unit have to submit their transfer pricing documentation by the deadline for filing the IES, which is due on the 15th day of the seventh month after the end of the fiscal year or on 15 July, if the fiscal year coincides with the calendar year (articles 130(3), 117(1)(c) and 121(2) and (3) of the CIRC).

During 2022, the deadline to comply with this obligation was exceptionally extended (due to the COVID-19 pandemic and the recent Russia-Ukraine impacts) to 15 September, see 
               https://santoscarvsroc.pt/wp-content/uploads/2022/07/despacho_seaf_135_seaf_xxiii.pdf";7 month after end of Fiscal Year;31/07/2023;1
Must be filed with the corporate income tax return (no later than 1 July if the fiscal year is aligned with the civil year);7 month after end of Fiscal Year;31/07/2023;1
Must be filed with the corporate income tax return (no later than 1 July);7 month after end of Fiscal Year;31/07/2023;1
No later than the last business day of July along with the filing of the corporate tax return;7 month after end of Fiscal Year;31/07/2023;1
No later than 7 months after the last day of the reporting fiscal year;7 month after end of Fiscal Year;31/07/2023;1
No later than the statutory deadline for filing the corporate income tax return for companies filing Form C annual tax return (i.e. usually within 7 months from the end of its financial year, starting from year of assessment 2021) or no later than the last day of the reporting fiscal year for constituent entities filing other forms;7 month after end of Fiscal Year;31/07/2023;1
"07/2022 (FYE 12/2021)
[Filed with corporate income
tax return: due by the last
business day of July for
calendar year taxpayers]";7 month after end of Fiscal Year;31/07/2023;1
At the same date as CbC report filing is required;7 month after end of Fiscal Year;31/07/2023;1
The relevant rules require that documentation be contemporaneous (i.e. it must be in existence at the time the taxpayer files its US tax return). This generally takes place 8 1/2 months following the close of the taxable year, but may occur sooner if all available filing extensions are not used. The return, without extensions, is due 2 1/2 months following the close of the taxable year;8 month after end of Fiscal Year;31/08/2023;1
No later than 8 months after the last day of the reporting fiscal year of the MNE group;8 month after end of Fiscal Year;31/08/2023;1
"09/01/2022 (FYE 12/2021)
09/01/2021 (FYE 12/2020)
[By September 1^{st} of year after
reporting year]";8 month after end of Fiscal Year;31/08/2023;1
"08/31/2022 (FYE 12/2021)
[Within 8 mo. after end of the
reporting year]";8 month after end of Fiscal Year;31/08/2023;1
By 1 September of the year following the reporting fiscal year;8 month after end of Fiscal Year;31/08/2023;1
"Must be submitted according to a maturity schedule:

- between 15 and 23 November 2018 for fiscal year 2017, depending on the last number of the Tax ID

- between 15 and 23 October 2019 for fiscal year 2018, depending on the last number of the Tax ID

- between 15 and 23 October 2020 for fiscal year 2019, depending on the last number of the Tax ID

- between 15 and 23 October 2021 for fiscal year 2020, depending on the last number of the Tax ID and

- between 15 and 23 October 2022 for fiscal year 2021, depending on the last number of the Tax ID

Nevertheless, the tax administration had extended the CbC report filing due date several times to the taxpayers who are included in numerals 1-3 of subsection b) of article 116 of the Income Tax Law Regulations. Indeed, Peru had to approve the evaluation of the standards (confidentiality and information security standard required by the OECD) for the automatic exchange of CbC information. 

The following categories of taxpayers may submit the CbC report until the last working day of the month following that in which SUNAT publishes on its website that Peru has approved the evaluation, as provided in Superintendence Resolution 054-2019:

- for fiscal year 2017: taxpayers included in numeral 2 of subsection b) of article 116 of the Income Tax Law Regulations

- for fiscal years 2018 and 2019: for taxpayers included in numerals 1-3 of subsection b) of article 116 of the Income Tax Law Regulations

On 2 December 2020, SUNAT informed that Peru has approved the evaluation of the standards of security and confidentiality of the information required by the OECD Global Forum on Transparency and Information Exchange, which means Peru has been included as a reciprocal jurisdiction for automatic exchange of information. 

Therefore, the CbC reports for fiscal years 2017, 2018 and 2019 of taxpayers who are included in numerals 1-3 of subsection b) of article 116 of the Income Tax Law Regulations must be submitted no later than 29 January 2021";9 month after end of Fiscal Year;30/09/2023;1
The Master File should be ready for submission upon request and must be prepared no later than 9 months after the end of the accounting period;9 month after end of Fiscal Year;30/09/2023;1
No later than 30 September of the year following the reporting year;9 month after end of Fiscal Year;30/09/2023;1
"Must be submitted according to a maturity schedule:

- between 15 and 23 November 2018 for fiscal year 2017, depending on the last number of the Tax ID

- between 15 and 23 October 2019 for fiscal year 2018, depending on the last number of the Tax ID

- between 15 and 23 October 2020 for fiscal year 2019, depending on the last number of the Tax ID

- between 15 and 23 October 2021 for fiscal year 2020, depending on the last number of the Tax ID and

- between 15 and 23 October 2022 for fiscal year 2021, depending on the last number of the Tax ID";9 month after end of Fiscal Year;30/09/2023;1
